,COSTO_UNITARIO,COSTO_UNITARIO_CALCULADO,SUBTOTAL_PARTIDA,COSTO_TOTAL_CALCULADO
0,52.8,52.8,434.48,52.8
1,327.18,327.18,1264.05,327.18
2,177.68,177.68,3861.29,1243.73
3,38.96,38.96,140.0,38.96
4,101.71,101.71,344.83,203.42
5,49.41,49.41,474.14,98.82
6,5323.76,5323.76,14000.0,5323.76
7,38.96,38.96,283.5,116.88
8,517.89,517.89,1615.0,517.89
9,517.89,517.89,1615.0,517.89
10,517.89,517.89,1615.0,517.89
11,0.0,586.32,1615.0,586.32
12,0.0,586.32,1615.0,586.32
13,0.0,86.22,1485.25,86.22
14,0.0,742.05,2095.25,742.05
15,51.73,149.6,481.25,397.08
16,124.0,124.0,1542.56,248.0
17,0.0,141.9,375.0,425.69
18,0.0,78.7,4106.5,393.48
19,0.0,75.77,5749.1,530.41
20,27.43,27.43,1489.05,82.29
21,147.76,147.76,2815.59,443.27
22,259.35,259.35,718.52,259.35
23,332.65,332.65,898.25,332.65
24,0.36,0.36,3000.0,0.72
25,1081.89,1081.89,5544.0,3245.66
26,124.0,124.0,2425.0,620.0
27,44.14,44.14,2250.0,264.83
28,489.39,489.39,4010.92,978.77
29,305.44,305.44,38979.6,9163.18
30,295.24,295.24,5136.22,1771.42
31,305.44,305.44,38979.6,9163.18
32,178.6,178.6,601.23,178.6
33,68.95,68.95,1505.0,689.45
34,78.32,78.32,2159.6,783.24
35,5.76,5.76,382.1,5.76
36,45.01,45.01,485.23,45.01
37,289.05,289.05,945.0,289.05
38,64.85,64.85,10384.0,2594.17
39,0.0,161.73,938.53,161.73
40,0.0,1509.14,38160.0,4527.42
41,101.71,101.71,5572.89,915.42
42,0.0,81.91,5050.8,819.14
43,0.0,497.54,10624.0,3980.31
44,0.0,98.76,1198.1,197.51
45,140.29,140.29,803.0,140.29
46,181.88,181.88,1570.5,363.75
47,249.89,249.89,1231.7,499.77
48,48.56,48.56,1540.8,194.24
49,0.0,195.26,2150.0,195.26
50,85.29,85.29,2655.0,426.47
51,220.0,220.0,385.0,220.0
52,211.36,211.36,500.0,211.36
53,242.48,242.48,1671.0,484.95
54,235.56,235.56,1791.0,471.13
55,0.0,319.8,1264.25,319.8
56,0.0,313.8,1264.25,313.8
57,44.7,44.7,2420.0,178.8
58,4.02,4.02,337.7,4.02
59,69.23,69.23,1116.28,138.46
60,69.23,69.23,1116.28,138.46
61,556.14,556.14,4236.0,1668.42
62,447.68,447.68,3564.0,1343.05
63,95.82,95.82,3978.0,574.91
64,158.4,158.4,991.6,316.8
65,272.65,272.65,17420.0,2181.22
66,161.63,161.63,1010.46,323.25
67,105.68,105.68,3940.4,422.72
68,0.0,795.74,10577.12,3182.95
69,51.38,51.38,1044.0,102.76
70,291.72,291.72,255.01,291.72
71,0.0,240.87,5512.5,2408.67
72,52.48,52.48,364.55,52.48
73,139.82,139.82,662.0,139.82
74,275.5,275.5,44259.0,8264.95
75,200.3,200.3,2999.72,600.9
76,372.67,372.67,14500.0,3726.73
77,360.5,360.5,8700.0,2162.98
78,337.97,337.97,8700.0,2027.79
79,113.47,113.47,3320.0,907.73
80,77.13,77.13,2720.0,771.29
81,0.0,115.58,2051.74,231.15
82,0.0,165.19,3174.5,330.39
83,0.0,385.71,5970.72,771.42
84,85.89,85.89,566.64,85.89
85,95.96,95.96,5178.0,1151.56
86,131.65,131.65,6339.6,1579.75
87,0.0,292.75,1880.28,292.75
88,71.25,71.25,3000.0,1425.02
89,38.96,38.96,98.0,38.96
90,363.33,363.33,2490.75,1090.0
91,27.08,27.08,473.28,27.08
92,436.54,436.54,1659.6,436.54
93,38.96,38.96,107.76,38.96
94,113.22,113.22,499.0,113.22
95,0.0,247.52,2700.0,742.57
96,0.0,160.03,3567.0,480.08
97,0.0,369.59,4305.0,1108.78
98,0.0,67.42,990.0,134.84
99,71.25,71.25,125.0,71.25
100,75.89,75.89,175.0,75.89
101,0.0,1214.3,5251.0,2428.6
102,1041.08,1041.08,4928.4,2082.15
103,1298.68,1298.68,4137.0,2597.36
104,0.0,387.87,925.6,387.87
105,435.3,435.3,1517.63,435.3
106,0.0,24.38,1995.4,97.52
107,167.3,167.3,2629.5,167.3
108,104.4,104.4,535.09,104.4
109,0.0,336.57,2391.69,673.13
110,0.0,647.84,1572.45,647.84
111,0.0,436.05,9502.0,1744.19
112,0.0,449.35,4161.7,898.7
113,0.0,406.61,2118.0,406.61
114,281.94,281.94,1250.0,281.94
115,0.0,67.22,2468.0,268.86
116,0.0,37.76,1020.0,75.53
117,13.38,13.38,197.5,13.38
118,0.0,226.23,1000.0,226.23
119,0.0,130.2,1700.8,520.79
120,0.0,137.08,971.0,274.16
121,220.0,220.0,385.0,220.0
122,492.92,492.92,3892.24,492.92
123,13.38,13.38,197.5,13.38
124,174.76,174.76,871.5,174.76
125,0.0,106.0,1125.87,318.0
126,246.94,246.94,2200.0,493.89
127,90.18,90.18,565.4,90.18
128,156.83,156.83,1406.56,627.33
129,0.0,146.88,3953.0,587.54
130,0.0,186.95,3314.76,747.79
131,0.0,99.32,2630.32,397.28
132,130.78,130.78,1125.0,130.78
133,134.36,134.36,1125.0,134.36
134,189.47,189.47,13701.02,2842.01
135,220.0,220.0,462.0,220.0
136,395.14,395.14,2665.3,395.14
137,141.65,141.65,1579.6,141.65
138,526.27,526.27,21602.16,6315.25
139,0.0,150.79,2134.4,603.18
140,96.78,96.78,7200.0,967.82
141,533.27,533.27,5632.95,1599.82
142,319.99,319.99,6804.0,2239.95
143,0.0,164.55,3798.36,329.11
144,168.4,168.4,2045.0,336.79
145,0.0,418.59,11579.97,1255.77
146,0.0,665.36,1054.0,665.36
147,0.0,569.1,9596.04,2276.4
148,78.83,78.83,3429.75,236.48
149,0.0,83.5,1705.95,250.49
150,0.0,791.1,9159.75,2373.3
151,0.0,143.89,2116.5,431.66
152,222.0,222.0,1626.21,444.0
153,113.59,113.59,715.7,227.19
154,153.97,153.97,8667.0,1539.68
155,112.64,112.64,3085.5,675.84
156,87.1,87.1,307.5,87.1
157,0.0,297.59,2092.22,595.19
158,0.0,111.63,900.0,334.89
159,182.75,182.75,5973.0,548.24
160,0.0,106.18,3036.68,424.72
161,0.0,150.48,3152.2,601.92
162,36.92,36.92,840.0,73.84
163,299.62,299.62,945.0,299.62
164,31.72,31.72,1035.0,95.16
165,155.39,155.39,1989.28,310.77
166,145.21,145.21,1476.8,290.42
167,150.74,150.74,1452.18,150.74
168,17.39,17.39,1185.0,104.34
169,106.55,106.55,336.93,106.55
170,0.0,89.85,3409.56,539.13
171,0.0,143.11,2259.43,143.11
172,0.0,42.86,894.84,85.71
173,0.0,337.19,2174.6,337.19
174,0.0,226.23,919.0,226.23
175,51.36,51.36,290.0,102.71
176,98.64,98.64,3000.0,789.1
177,1214.3,1214.3,5251.0,2428.6
178,0.0,325.78,4758.64,2606.27
179,431.83,431.83,4556.9,863.66
180,124.0,124.0,408.87,124.0
181,175.18,175.18,1136.53,175.18
182,12.4,12.4,862.07,12.4
183,0.0,1782.0,7575.0,5346.0
184,36.53,36.53,675.4,73.06
185,672.74,672.74,16492.26,7400.14
186,1190.42,1190.42,14096.87,7142.54
187,0.0,70.04,2040.0,280.17
188,0.0,189.75,1626.1,379.5
189,0.0,346.74,2096.0,693.49
190,112.61,112.61,1050.0,225.21
191,0.0,3061.83,12750.0,4592.74
192,38.96,38.96,239.66,77.92
193,227.18,227.18,813.0,227.18
194,0.0,773.91,2068.5,773.91
195,304.25,304.25,9108.0,1825.52
196,173.0,173.0,2985.3,865.0
197,29.9,29.9,683.25,29.9
198,222.0,222.0,813.1,222.0
199,0.0,52.74,12434.58,949.4
200,378.69,378.69,3040.0,757.39
201,220.0,220.0,385.0,220.0
202,0.0,253.0,435.0,253.0
203,0.0,98.63,206.9,98.63
204,0.0,254.34,52200.0,9156.17
205,37.66,37.66,1560.5,75.32
206,44.54,44.54,1598.24,89.08
207,48.09,48.09,1643.78,96.18
208,51.09,51.09,1678.86,102.18
209,141.49,141.49,1802.24,282.98
210,201.21,201.21,1984.0,402.41
211,188.85,188.85,2218.44,377.7
212,297.2,297.2,2224.0,594.4
213,30.17,30.17,5075.7,211.19
214,54.82,54.82,774.9,109.64
215,0.0,187.31,3348.0,374.62
216,0.0,366.42,1920.0,732.84
217,112.8,112.8,1379.84,225.59
218,112.8,112.8,1379.84,225.59
219,0.0,227.18,813.0,227.18
220,0.0,427.12,9600.0,1281.35
221,0.0,369.07,18630.0,2214.39
222,101.99,101.99,3550.0,1019.92
223,0.0,1204.71,4436.54,2409.43
224,0.0,74.08,650.32,74.08
225,1179.22,1179.22,1615.0,1179.22
226,1179.22,1179.22,1615.0,1179.22
227,1179.22,1179.22,1615.0,1179.22
228,1179.22,1179.22,1615.0,1179.22
229,1179.22,1179.22,1615.0,1179.22
230,338.28,338.28,1196.0,676.56
231,160.14,160.14,890.0,320.27
232,106.55,106.55,606.9,213.1
233,137.48,137.48,738.5,274.96
234,119.05,119.05,1775.0,595.24
235,0.0,125.12,2727.0,500.47
236,127.62,127.62,4070.0,1276.19
237,120.29,120.29,3904.0,962.29
238,113.69,113.69,3801.0,795.85
239,161.1,161.1,4072.0,1288.78
240,131.71,131.71,4095.0,395.14
241,0.0,459.8,4060.0,1839.19
242,88.95,88.95,2249.28,355.8
243,7342.41,7342.41,1125.0,7342.41
244,0.0,440.7,2970.0,881.41
245,339.43,339.43,44259.0,10182.84
246,29.29,29.29,2500.8,117.15
247,90.42,90.42,1130.8,180.83
248,0.0,69.55,997.54,139.11
249,0.0,470.09,2508.7,470.09
250,0.0,373.69,2056.7,747.38
251,0.0,559.98,1265.2,559.98
252,0.0,178.49,2397.3,535.46
253,0.0,139.69,1156.5,139.69
254,173.44,173.44,2976.75,520.33
255,0.0,48.23,1076.1,144.69
256,0.0,208.27,1498.16,208.27
257,0.0,688.35,1599.5,688.35
258,0.0,375.4,1455.25,375.4
259,0.0,415.77,1398.79,415.77
260,0.0,601.65,2944.0,1203.29
261,236.98,236.98,1196.55,710.93
262,0.0,449.84,3689.64,1349.52
263,0.0,87.59,2040.0,175.18
264,0.0,43.81,2500.8,175.24
265,33.9,33.9,1875.86,135.61
266,688.31,688.31,2524.5,688.31
267,236.68,236.68,4120.0,946.71
268,210.46,210.46,4378.4,841.84
269,1214.3,1214.3,5251.0,2428.6
270,918.12,918.12,23340.0,5508.73
271,0.0,1133.81,23340.0,6802.89
272,220.0,220.0,462.0,220.0
273,0.0,41.26,4315.0,41.26
274,173.44,173.44,2976.75,520.33
275,78.24,78.24,1038.0,156.48
276,211.36,211.36,512.36,211.36
277,137.48,137.48,382.76,137.48
278,0.0,134.94,560.04,134.94
279,235.81,235.81,13701.02,3537.11
280,370.94,370.94,1255.2,370.94
281,0.0,36.53,675.4,73.06
282,0.0,269.59,1931.0,539.17
283,87.1,87.1,1060.0,348.39
284,435.26,435.26,2265.0,435.26
285,67.47,67.47,2296.0,269.88
286,122.14,122.14,5515.0,610.68
287,152.37,152.37,1155.6,304.73
288,0.0,428.56,11976.12,3857.05
289,216.65,216.65,800.0,216.65
290,1246.35,1246.35,8873.08,4985.4
291,143.8,143.8,470.0,143.8
292,326.23,326.23,5948.3,3262.29
293,212.44,212.44,999.91,212.44
294,317.3,317.3,980.6,317.3
295,317.3,317.3,980.6,317.3
296,269.6,269.6,4215.75,808.8
297,0.0,111.07,1625.06,222.14
298,87.1,87.1,375.29,87.1
299,119.05,119.05,7100.0,2380.95
300,1666.85,1666.85,8334.25,8334.25
301,143.8,143.8,2350.0,719.0
302,2644.78,2644.78,4650.5,2644.78
303,303.31,303.31,9307.2,1819.85
304,673.14,673.14,3096.0,1346.28
305,0.0,1783.73,4508.2,1783.73
306,220.0,220.0,924.0,440.0
307,38.96,38.96,215.52,77.92
308,417.45,417.45,2377.0,417.45
309,261.77,261.77,8392.8,2617.65
310,0.0,351.08,16177.5,5266.17
311,220.0,220.0,385.0,220.0
312,377.29,377.29,9438.8,1509.17
313,145.03,145.03,8730.0,1305.27
314,212.44,212.44,999.91,212.44
315,358.0,358.0,2431.0,716.01
316,97.81,195.77,1910.0,195.77
317,525.52,525.52,6081.0,2102.1
318,248.65,248.65,2700.0,497.3
319,44.14,44.14,1875.0,220.69
320,220.0,220.0,462.0,220.0
321,281.63,281.63,2821.2,563.27
322,0.0,30.77,1790.0,153.86
323,541.44,541.44,3216.0,1082.88
324,0.0,70.12,2691.6,420.72
325,112.11,112.11,710.0,112.11
326,0.0,244.02,12942.0,4880.41
327,761.07,761.07,6106.5,1522.13
328,106.55,106.55,1348.0,426.19
329,626.37,626.37,3906.52,1252.74
330,143.8,143.8,996.0,287.6
331,327.61,327.61,2005.5,327.61
332,0.0,60.56,568.97,60.56
333,174.73,174.73,1700.0,349.45
334,300.96,300.96,5595.0,1805.76
335,1179.22,1179.22,1615.0,1179.22
336,319.43,319.43,1179.25,319.43
337,319.43,319.43,1179.25,319.43
338,417.02,417.02,1848.4,417.02
339,417.02,417.02,1848.4,417.02
340,66.08,66.08,1988.8,264.34
341,212.44,212.44,999.91,212.44
342,98.65,98.65,1318.96,197.3
343,64.98,64.98,2250.0,389.9
344,38.96,38.96,189.0,77.92
345,51.36,51.36,306.0,102.71
346,38.96,38.96,196.0,77.92
347,5211.65,5211.65,14000.0,5211.65
348,222.0,222.0,732.0,222.0
349,200.3,200.3,1999.81,400.6
350,87.1,87.1,2650.8,870.97
351,0.0,620.47,14175.0,3102.37
